30-Jan-24 15:07:06 - main_per_user.py - INFO - Userid: 1, Accuracy: 0.9290780141843972, # of feature: 137
30-Jan-24 15:07:06 - main_per_user.py - INFO - Userid: 3, Accuracy: 0.8518518518518519, # of feature: 137
30-Jan-24 15:07:06 - main_per_user.py - INFO - Userid: 5, Accuracy: 0.9612403100775194, # of feature: 137
30-Jan-24 15:07:06 - main_per_user.py - INFO - Userid: 6, Accuracy: 0.8774193548387097, # of feature: 137
30-Jan-24 15:07:06 - main_per_user.py - INFO - Userid: 8, Accuracy: 0.967391304347826, # of feature: 137
30-Jan-24 15:07:06 - main_per_user.py - INFO - Userid: 12, Accuracy: 0.7428571428571429, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 13, Accuracy: 0.8639455782312925, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 15, Accuracy: 0.7985074626865671, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 18, Accuracy: 0.7816091954022989, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 19, Accuracy: 0.9337016574585635, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 21, Accuracy: 0.8301886792452831, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 22, Accuracy: 0.5949367088607594, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 24, Accuracy: 0.7703703703703704, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 26, Accuracy: 0.8296296296296296, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 28, Accuracy: 0.8726114649681529, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 30, Accuracy: 0.9586776859504132, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 31, Accuracy: 0.5748031496062992, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 32, Accuracy: 0.8757763975155279, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 34, Accuracy: 0.9382022471910112, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 41, Accuracy: 0.8074534161490683, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 45, Accuracy: 0.8058252427184466, # of feature: 137
30-Jan-24 15:07:07 - main_per_user.py - INFO - Userid: 49, Accuracy: 0.8214285714285714, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 55, Accuracy: 0.8405797101449275, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 57, Accuracy: 0.8770053475935828, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 58, Accuracy: 0.8370786516853933, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 59, Accuracy: 0.9837837837837838, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 60, Accuracy: 0.9358288770053476, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 61, Accuracy: 0.8936170212765957, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 62, Accuracy: 0.7714285714285715, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 65, Accuracy: 0.8736263736263736, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 66, Accuracy: 0.9459459459459459, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 70, Accuracy: 0.8546511627906976, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 72, Accuracy: 0.89, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 73, Accuracy: 0.9634146341463414, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 74, Accuracy: 0.9933333333333333, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 75, Accuracy: 0.7538461538461538, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 76, Accuracy: 0.775, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 80, Accuracy: 0.916030534351145, # of feature: 137
30-Jan-24 15:07:08 - main_per_user.py - INFO - Userid: 82, Accuracy: 0.9176470588235294, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 83, Accuracy: 0.8770491803278688, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 84, Accuracy: 0.9464285714285714, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 86, Accuracy: 0.904, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 87, Accuracy: 0.8770491803278688, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 89, Accuracy: 0.8523489932885906, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 91, Accuracy: 0.9224137931034483, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 92, Accuracy: 0.9401709401709402, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 95, Accuracy: 0.8811881188118812, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 97, Accuracy: 0.8507462686567164, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 100, Accuracy: 0.8231292517006803, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 103, Accuracy: 0.8920454545454546, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 105, Accuracy: 0.8943089430894309, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 106, Accuracy: 0.928, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 107, Accuracy: 0.7692307692307693, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 109, Accuracy: 0.9310344827586207, # of feature: 137
30-Jan-24 15:07:09 - main_per_user.py - INFO - Userid: 112, Accuracy: 0.9759036144578314, # of feature: 137
